current_resource,target_exit,DPP,Latency,mAP
1960000000,1,4.284899999999972,4.489795918367347e-08,72
1930000000,1,4.284899999999972,4.5595854922279794e-08,70
1950000000,1,4.284899999999972,4.512820512820513e-08,70
1980000000,1,4.284899999999972,4.444444444444445e-08,80
1900000000,1,4.284899999999972,4.631578947368421e-08,76
1900000000,1,4.284899999999972,4.631578947368421e-08,68
1990000000,1,4.284899999999972,4.422110552763819e-08,79
1930000000,1,4.284899999999972,4.5595854922279794e-08,62
1940000000,1,-20.555099999999946,4.536082474226804e-08,75
2000000000,1,4.284899999999972,4.4e-08,79
1970000000,1,4.284899999999972,4.467005076142132e-08,69
1940000000,1,4.284899999999972,4.536082474226804e-08,60
1970000000,1,-28.83509999999992,4.467005076142132e-08,73
1910000000,1,-8.135099999999987,4.607329842931937e-08,72
1940000000,1,4.284899999999972,4.536082474226804e-08,64
1980000000,1,-12.275099999999973,4.444444444444445e-08,72
1980000000,1,4.284899999999972,4.444444444444445e-08,74
1990000000,1,4.284899999999972,4.422110552763819e-08,78
1970000000,1,4.284899999999972,4.467005076142132e-08,70
1910000000,1,4.284899999999972,4.607329842931937e-08,80
2000000000,1,4.284899999999972,4.4e-08,66
1900000000,1,-3.9951000000000008,4.631578947368421e-08,68
1980000000,1,-3.9951000000000008,4.444444444444445e-08,60
1950000000,1,-37.11509999999989,4.512820512820513e-08,68
1990000000,1,-37.11509999999989,4.422110552763819e-08,76
1950000000,1,-3.9951000000000008,4.512820512820513e-08,79
1950000000,1,4.284899999999972,4.512820512820513e-08,66
1980000000,1,-3.9951000000000008,4.444444444444445e-08,60
1990000000,1,-37.11509999999989,4.422110552763819e-08,62
1930000000,1,-61.95509999999981,4.5595854922279794e-08,72
1970000000,1,-45.395099999999864,4.467005076142132e-08,78
1900000000,1,-3.9951000000000008,4.631578947368421e-08,77
1970000000,1,4.284899999999972,4.467005076142132e-08,67
1940000000,1,0.1448999999999856,4.536082474226804e-08,70
1920000000,1,4.284899999999972,4.5833333333333333e-08,78
1930000000,1,4.284899999999972,4.5595854922279794e-08,80
1990000000,1,4.284899999999972,4.422110552763819e-08,68
1910000000,1,4.284899999999972,4.607329842931937e-08,77
1910000000,1,4.284899999999972,4.607329842931937e-08,64
1960000000,1,-12.275099999999973,4.489795918367347e-08,60
1910000000,1,-45.395099999999864,4.607329842931937e-08,74
1990000000,1,-20.555099999999946,4.422110552763819e-08,74
1970000000,1,4.284899999999972,4.467005076142132e-08,65
1990000000,1,-8.135099999999987,4.422110552763819e-08,75
1910000000,1,4.284899999999972,4.607329842931937e-08,80
1920000000,1,4.284899999999972,4.5833333333333333e-08,66
1960000000,1,-3.9951000000000008,4.489795918367347e-08,62
1920000000,1,-28.83509999999992,4.5833333333333333e-08,78
